description,url
Item,https://www.amazon.com/dp/B08Z1RN7NP/ref=va_live_carousel?pf_rd_r=PHP2NCC5ABHBG1W46T42&pf_rd_p=14936841-ca05-4835-b3bf-87617ecd98a6&pf_rd_m=ATVPDKIKX0DER&pf_rd_t=Detail&pf_rd_i=B0B82LFQQY&pf_rd_s=desktop-dp-sims&pd_rd_w=U6rgt&pd_rd_r=1b4a16aa-4da3-49f9-959d-67dc8a26a375&pd_rd_wg=QRHSw&linkCode=ilv&tag=onamzjanz-20&ascsubtag=Top_deals_230211033552&asc_contentid=amzn1.amazonlive.broadcast.ba2618e5-06c4-47dd-9604-ba3c108ed7be&pd_rd_i=B08Z1RN7NP&th=1&psc=1
Item,https://www.amazon.com/dp/B07VGJDKZ4/ref=va_live_carousel?pf_rd_r=WJXQQQRHCER0S9VTXXE0&pf_rd_p=14936841-ca05-4835-b3bf-87617ecd98a6&pf_rd_m=ATVPDKIKX0DER&pf_rd_t=Detail&pf_rd_i=B08Z1RN7NP&pf_rd_s=desktop-dp-sims&pd_rd_w=Vpxad&pd_rd_r=4b17647e-92bb-4917-83f0-99e65f0b41cd&pd_rd_wg=oJcaE&linkCode=ilv&tag=onamzjanz-20&ascsubtag=Top_deals_230211033552&asc_contentid=amzn1.amazonlive.broadcast.ba2618e5-06c4-47dd-9604-ba3c108ed7be&pd_rd_i=B07VGJDKZ4&th=1&psc=1
Item,https://www.amazon.com/dp/B004ALKLR2/ref=sspa_dk_detail_1?psc=1&pd_rd_i=B004ALKLR2&pd_rd_w=Dump0&content-id=amzn1.sym.af9528d2-09ba-47ee-b909-59e3022bebe1&pf_rd_p=af9528d2-09ba-47ee-b909-59e3022bebe1&pf_rd_r=FDH4ZKQPFCX2P3M8G0F1&pd_rd_wg=WFgD0&pd_rd_r=e69ec124-4e27-4e44-b34a-834fa212a10c&s=arts-crafts-intl-ship&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFYNkNDWjYwVlIyMjEmZW5jcnlwdGVkSWQ9QTAwNTIwMjcxNkZJOFlJRkNWNDg3JmVuY3J5cHRlZEFkSWQ9QTA2OTMxNjUxMzRIQTZCM0lWVTVGJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
Item,https://www.amazon.com/dp/B07FKVSZG2/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B07FKVSZG2&pd_rd_w=nG6oG&content-id=amzn1.sym.af9528d2-09ba-47ee-b909-59e3022bebe1&pf_rd_p=af9528d2-09ba-47ee-b909-59e3022bebe1&pf_rd_r=M83D8N2PCDF5EWXCME0V&pd_rd_wg=DFaZy&pd_rd_r=671cd831-c754-4664-ac8e-11454e47b893&s=arts-crafts-intl-ship&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyWlk2RDVRWk4zMUZHJmVuY3J5cHRlZElkPUEwOTQyNjE2MzREWEVKWEdRNzgyVCZlbmNyeXB0ZWRBZElkPUEwMTE2NTkwMzFBWkFQQ1cwU1lDNCZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
Item,https://www.amazon.com/dp/B0792FZ9F3/ref=sspa_dk_detail_6?psc=1&pd_rd_i=B0792FZ9F3&pd_rd_w=HmTmW&content-id=amzn1.sym.af9528d2-09ba-47ee-b909-59e3022bebe1&pf_rd_p=af9528d2-09ba-47ee-b909-59e3022bebe1&pf_rd_r=7RDEJTQQKCP22SRW7XPK&pd_rd_wg=ElAFf&pd_rd_r=68e9db96-4c5f-4e73-9a47-b7c88e294be8&s=arts-crafts-intl-ship&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEySVM3WjlZR044UUhOJmVuY3J5cHRlZElkPUEwOTg2OTIxMkU0U0xPMlgyU0M2QSZlbmNyeXB0ZWRBZElkPUEwMzYwNDUwMzA3UUgzMzBQOE9GWiZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
Item,https://www.amazon.com/WiFi-6-Router-Gigabit-Wireless/dp/B08H8ZLKKK/ref=sr_1_1?qid=1676086752&s=computers-intl-ship&sr=1-1
Item,https://www.amazon.com/dp/B084H58WN2/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B084H58WN2&pd_rd_w=BBvT6&content-id=amzn1.sym.dd2c6db7-6626-466d-bf04-9570e69a7df0&pf_rd_p=dd2c6db7-6626-466d-bf04-9570e69a7df0&pf_rd_r=3K0K0Z13DE42SAWM7418&pd_rd_wg=kpBft&pd_rd_r=63c76570-65b6-4e77-9dfc-8aa2fc433f87&s=computers-intl-ship&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFWRjEySVJBUFk2MU4mZW5jcnlwdGVkSWQ9QTA1MzcxNzcyUUpCMU9YNUNTU0YxJmVuY3J5cHRlZEFkSWQ9QTA5NDA4OTUzT1lSU0NERUlZM1dKJndpZGdldE5hbWU9c3BfZGV0YWlsX3RoZW1hdGljJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
Item,https://www.amazon.com/dp/B0BF7PV6PK/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B0BF7PV6PK&pd_rd_w=032kf&content-id=amzn1.sym.dd2c6db7-6626-466d-bf04-9570e69a7df0&pf_rd_p=dd2c6db7-6626-466d-bf04-9570e69a7df0&pf_rd_r=SW3CWPVDYZTZCW3KDGGV&pd_rd_wg=pxknS&pd_rd_r=2a75d478-af7d-49fd-9d8f-ae11c5981b57&s=computers-intl-ship&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExWlpGWDNNMDBQVkJJJmVuY3J5cHRlZElkPUEwNTM3NjcwMVdETTkyVktPN0dVSyZlbmNyeXB0ZWRBZElkPUEwMjc0Mzk5MlpVQkZCTTVNSzQ1NiZ3aWRnZXROYW1lPXNwX2RldGFpbF90aGVtYXRpYyZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
Store,https://www.amazon.com/stores/node/21579875011/feed?postId=0da3ac04-be6d-44a4-886f-867c5816ac0b
Store,https://www.amazon.com/stores/node/10411931011
Store,https://www.amazon.com/stores/node/2597277011
Store,https://www.amazon.com/stores/page/0CA2A9B7-7695-43AF-98D9-FB55761E0796
Store,https://www.amazon.com/stores/node/19599585011
Store,https://www.amazon.com/stores/page/A0E727EF-CBDB-4200-AB8F-7210F6D9186C
Store,https://www.amazon.com/stores/page/E9264627-673F-4E93-823C-E69F198EEEA0
Store,https://www.amazon.com/stores/node/5722110011
Store,https://www.amazon.com/stores/node/2581741011
Store,https://www.amazon.com/stores/page/9315F82B-8BDF-4711-8450-2428416D0F96?ref_=bbb_bsp_bi_sto&store_ref=rec_bbb_bi
Store,https://www.amazon.com/stores/page/EFBAC4C8-9169-43EE-A3A3-D99A7AB62D1D
Store,https://www.amazon.com/stores/page/F50AFABA-4CDE-4A95-84D0-CA4C61819FEB?ref_=bbb_bsp_bi_sto&store_ref=rec_bbb_bi
Store,https://www.amazon.com/stores/page/2DF5EF41-1841-4D37-8C09-44D0F34A045C/?_encoding=UTF8&store_ref=SB_A0395953LSH5BZZBUSW9&pd_rd_plhdr=t&aaxitk=d8c23732bfa0f44340bedd0620431f66&hsa_cr_id=0&lp_asins=B0BP2VWM8T%2CB0BNWDDT7H&lp_query=OHUI&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_mcd_cta&pd_rd_w=nyATD&content-id=amzn1.sym.7dd77237-72be-4809-b5b5-d553eab7ad9d%3Aamzn1.sym.7dd77237-72be-4809-b5b5-d553eab7ad9d&pf_rd_p=7dd77237-72be-4809-b5b5-d553eab7ad9d&pf_rd_r=75B022EHMP5Y4SJJFHGF&pd_rd_wg=xJVlA&pd_rd_r=dbc9fd06-cf20-49e2-ba6d-7ce411efe65e
Store,https://www.amazon.com/stores/node/3022436011
Store,https://www.amazon.com/stores/node/10411931011
